dirty_data	product	alt_lang	question_text	question_code
aucune, je ne suis pas le sport	Kids France	fr	What is your favourite sports team?	HOBB011
Aucune, pas intéressé par ça	NextGen France	fr	What is your favourite sports team?	HOBB011
Aucune, pas très intéressant	NextGen France	fr	What is your favourite sports team?	HOBB011
Aurec	Kids France	fr	What is your favourite sports team?	HOBB011
Auriana	Kids France	fr	What is your favourite sports team?	HOBB011
Australia National Fencing Team	NextGen Spain	es	What is your favourite sports team?	HOBB011
Australia National Rugby League Team	Kids Australia		What is your favourite sports team?	HOBB011
Australia National Rugby League Team	NextGen France	fr	What is your favourite sports team?	HOBB011
Australia National Skiing Team	NextGen Italy	it	What is your favourite sports team?	HOBB011
Australia National Women's Football Team	Kids UK		What is your favourite sports team?	HOBB011
Australia National Women's Football Team	NextGen UK		What is your favourite sports team?	HOBB011
Australian Dolpins	Kids Australia		What is your favourite sports team?	HOBB011
Australian women’s cricket	Kids Australia		What is your favourite sports team?	HOBB011
Australian Women's National Soccer Team	Kids Australia		What is your favourite sports team?	HOBB011
australin cricket team like maxwell	Kids Australia		What is your favourite sports team?	HOBB011
australina cricken team	Kids Australia		What is your favourite sports team?	HOBB011
Austrian Ski Team	NextGen Germany	de	What is your favourite sports team?	HOBB011
Avtomobilist Yekaterinburg	NextGen France	fr	What is your favourite sports team?	HOBB011
Avtomobilist Yekaterinburg	NextGen Spain	es	What is your favourite sports team?	HOBB011
Avtomobilist Yekaterinburg	NextGen US		What is your favourite sports team?	HOBB011
axaj	Kids UK		What is your favourite sports team?	HOBB011
axaja	Kids UK		What is your favourite sports team?	HOBB011
Ayr United FC	NextGen Germany	de	What is your favourite sports team?	HOBB011
AZ rattlers	Kids US	es-MX	What is your favourite sports team?	HOBB011
baby ty	Kids Australia		What is your favourite sports team?	HOBB011
Bacs	Kids Italy	it	What is your favourite sports team?	HOBB011
Baddirr	NextGen France	fr	What is your favourite sports team?	HOBB011
Badeball	NextGen France	fr	What is your favourite sports team?	HOBB011
Badket	Kids Indonesia	id	What is your favourite sports team?	HOBB011
